Packet Number,Time(seconds),socket_count
6992,51,469
6999,51,470
7006,51,471
7013,51,472
7020,51,473
7027,51,474
7034,51,475
7041,51,476
7048,51,477
7055,51,478
7062,51,479
7069,51,480
7076,51,481
7083,51,482
7090,51,483
7097,51,484
7104,51,485
7111,51,486
7118,51,487
7124,51,488
7132,51,489
7139,51,490
7146,51,491
7152,51,492
7160,51,493
7167,51,494
7174,51,495
7180,51,496
7188,51,497
7195,51,498
7202,51,499
7209,51,500
7274,53,500
7713,66,501
7720,66,502
7727,66,503
7733,66,504
7741,66,505
7748,66,506
7755,66,507
7761,66,508
7769,66,509
7776,66,510
7783,66,511
7789,66,512
7796,66,513
7803,66,514
7810,66,515
7817,66,516
7825,66,517
7831,66,518
7838,66,519
7845,66,520
7853,66,521
7859,66,522
7866,66,523
7873,66,524
7881,66,525
7887,66,526
7894,66,527
7902,66,528
7908,66,529
7916,66,530
7923,66,531
7930,66,532
7937,66,533
7943,66,534
7950,66,535
7957,66,536
7964,66,537
7971,66,538
7979,66,539
7986,66,540
7993,66,541
8000,66,542
8007,66,543
8014,66,544
8020,66,545
8027,66,546
8035,66,547
8041,66,548
8049,66,549
8055,66,550
8063,66,551
8069,66,552
8076,66,553
8084,66,554
8091,66,555
8097,66,556
8105,66,557
8112,66,558
8119,66,559
8125,66,560
8133,66,561
8140,66,562
8146,66,563
8154,66,564
8161,66,565
8168,66,566
8174,66,567
8181,66,568
8189,66,569
8196,66,570
8202,66,571
8210,66,572
8216,66,573
8224,66,574
8231,66,575
8238,66,576
8245,66,577
8251,66,578
8259,66,579
8266,66,580
8273,66,581
8280,66,582
8286,66,583
8294,66,584
8301,66,585
8307,66,586
8315,66,587
8322,66,588
8329,66,589
8336,66,590
8343,66,591
8350,66,592
8357,66,593
8364,66,594
8371,66,595
8378,66,596
8385,66,597
8392,66,598
8399,66,599
8406,66,600
8413,66,601
8420,66,602
8427,66,603
8434,66,604
8441,66,605
8448,66,606
8455,66,607
8462,66,608
8469,66,609
8476,66,610
8483,66,611
8490,66,612
8497,66,613
8504,66,614
8511,66,615
8518,66,616
8525,66,617
8532,66,618
8539,66,619
8546,66,620
8553,66,621
8560,66,622
8567,66,623
8574,66,624
8581,66,625
8588,66,626
8595,66,627
8602,66,628
8609,66,629
8616,66,630
8623,66,631
8630,66,632
9223,74,632
9224,74,632
9237,75,632
9904,81,633
9911,81,634
9918,81,635
9925,81,636
9932,81,637
9939,81,638
9945,81,639
9953,81,640
9959,81,641
9966,81,642
9973,81,643
9981,81,644
9987,81,645
9995,81,646
10001,81,647
10008,81,648
10015,81,649
10022,81,650
10028,81,650
10971,96,651
10978,96,652
10984,96,653
10992,96,654
10999,96,655
11006,96,656
11013,96,657
11020,96,658
11027,96,659
11034,96,660
11041,96,661
11047,96,662
11055,96,663
11062,96,664
11069,96,665
11075,96,666
11083,96,667
11090,96,668
11097,96,669
11104,96,670
11111,96,671
11118,96,672
11125,96,673
11132,96,674
11139,96,675
11145,96,676
11153,96,677
11160,96,678
11167,96,679
11174,96,680
11181,96,681
11188,96,682
11195,96,683
11202,96,684
11209,96,685
11216,96,686
11222,96,687
11230,96,688
11236,96,689
11244,96,690
11251,96,691
11258,96,692
11264,96,693
11271,96,694
11278,96,695
11286,96,696
11293,96,697
11300,96,698
11306,96,699
11314,96,700
11321,96,701
11327,96,702
11335,96,703
11342,96,704
11348,96,705
11356,96,706
11363,96,707
11370,96,708
11377,96,709
11384,96,710
11390,96,711
11398,96,712
11404,96,713
11412,96,714
11419,96,715
11425,96,716
11433,96,717
11440,96,718
11446,96,719
11453,96,720
11461,96,721
11468,96,722
11475,96,723
11481,96,724
11489,96,725
11496,96,726
11502,96,727
11510,96,728
11517,96,729
11524,96,730
11531,96,731
11537,96,732
11545,96,733
11551,96,734
11558,96,735
11565,96,736
11572,96,737
11579,96,738
11586,96,739
11593,96,740
11600,96,741
11607,96,742
11614,96,743
11621,96,744
11628,96,745
11635,96,746
11642,96,747
11649,96,748
11656,96,749
11663,96,750
11670,96,751
11677,96,752
11684,96,753
11691,96,754
11698,96,755
11705,96,756
11712,96,757
11719,96,758
11726,96,759
11733,96,760
11740,96,761
11747,96,762
11754,96,763
11761,96,764
11768,96,765
11775,96,766
11782,96,767
11789,96,768
11796,96,769
11803,96,770
11810,96,771
11817,96,772
11824,96,773
11831,96,774
11838,96,775
11845,96,776
11852,96,777
11859,96,778
11866,96,779
11873,96,780
11880,96,781
11887,96,782
11894,96,783
11901,96,784
11908,96,785
11915,96,786
11922,96,787
11929,96,788
11936,96,789
11943,96,790
11950,96,791
11957,96,792
11964,96,793
11971,96,794
11978,96,795
11985,96,796
11992,96,797
11999,96,798
12006,96,799
12013,96,800
12019,96,800
12080,98,800
12081,98,800
12082,98,800
