Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count,Label
311,0,UDP,192.168.77.1,,,,248,0,,,,N
311,,DNS,192.168.77.1,,,,248,0,,,,N
315,0,TCP,23.215.215.147,443,51225,0,0,0,23,,,N
324,0,UDP,1.1.1.1,,,,247,0,,,,N
324,,DNS,1.1.1.1,,,,247,0,,,,N
325,0,TCP,23.215.215.147,443,51237,573,0,0,24,,,N
326,0,TCP,23.215.215.147,443,51237,0,264,0,24,,,N
338,0,TCP,52.98.88.242,443,51239,745,99,0,27,,,N
341,0,TCP,23.215.215.147,443,51237,80,0,0,24,,,N
342,0,TCP,23.215.215.147,443,51237,80,0,0,24,,,N
343,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
344,0,TCP,23.215.215.147,443,51237,0,271,0,24,,,N
346,0,TCP,23.215.215.147,443,51237,0,61,0,24,,,N
348,0,TCP,23.215.215.147,443,51237,0,31,0,24,,,N
350,0,TCP,23.215.215.147,443,51237,2361,0,0,24,,,N
352,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,,N
353,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
354,0,TCP,23.215.215.147,443,51237,722,0,0,24,,,N
355,0,TCP,23.215.215.147,443,51237,31,0,0,24,,,N
356,0,TCP,23.215.215.147,443,51238,573,0,0,25,,,N
357,0,TCP,23.215.215.147,443,51238,0,264,0,25,,,N
364,0,TCP,52.98.88.242,443,51239,816,291,0,27,,,N
373,0,TCP,52.98.88.242,443,51239,74,62,0,27,,,N
376,0,TCP,52.98.88.242,443,51239,1970,0,0,27,,,N
377,0,TCP,23.215.215.147,443,51237,31,0,0,24,,,N
378,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
379,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
380,0,TCP,23.215.215.147,443,51237,788,0,0,24,,,N
381,0,TCP,23.215.215.147,443,51238,80,0,0,25,,,N
382,0,TCP,23.215.215.147,443,51238,80,0,0,25,,,N
383,0,TCP,23.215.215.147,443,51238,0,271,0,25,,,N
385,0,TCP,23.215.215.147,443,51238,0,61,0,25,,,N
386,0,TCP,23.215.215.147,443,51238,0,31,0,25,,,N
389,0,TCP,52.98.88.242,443,51239,31,31,0,27,,,N
391,0,TCP,23.215.215.147,443,51237,0,340,0,24,,,N
392,0,TCP,23.215.215.147,443,51237,0,31,0,24,,,N
394,0,TCP,52.98.88.242,443,51239,0,1001,0,27,,,N
395,0,TCP,52.98.88.242,443,51239,0,220,0,27,,,N
396,0,TCP,52.98.88.242,443,51239,0,31,0,27,,,N
398,0,TCP,23.215.215.147,443,51238,31,0,0,25,,,N
399,0,TCP,20.107.96.130,443,51240,327,99,0,28,,,N
402,0,TCP,23.215.215.147,443,51237,0,724,0,24,,,N
404,0,TCP,23.215.215.147,443,51237,0,1440,0,24,,,N
406,0,TCP,23.215.215.147,443,51237,0,108,0,24,,,N
412,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
413,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
414,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
415,0,TCP,23.215.215.147,443,51237,1353,0,0,24,,,N
416,0,TCP,20.107.96.130,443,51240,398,1440,0,28,,,N
418,0,TCP,20.107.96.130,443,51240,0,1440,0,28,,,N
420,0,TCP,20.107.96.130,443,51240,0,1440,0,28,,,N
422,0,TCP,20.107.96.130,443,51240,0,1440,0,28,,,N
424,0,TCP,20.107.96.130,443,51240,0,365,0,28,,,N
433,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
434,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
435,0,TCP,23.215.215.147,443,51237,2794,0,0,24,,,N
436,0,TCP,23.215.215.147,443,51237,0,686,0,24,,,N
438,0,TCP,23.215.215.147,443,51237,0,1440,0,24,,,N
440,0,TCP,23.215.215.147,443,51237,0,249,0,24,,,N
442,0,TCP,20.107.96.130,443,51240,74,103,0,28,,,N
444,0,TCP,20.107.96.130,443,51240,0,62,0,28,,,N
447,0,TCP,20.107.96.130,443,51240,393,0,0,28,,,N
448,0,TCP,23.215.215.147,443,51237,0,686,0,24,,,N
450,0,TCP,23.215.215.147,443,51237,0,1440,0,24,,,N
452,0,TCP,23.215.215.147,443,51237,0,466,0,24,,,N
456,0,TCP,20.107.96.130,443,51240,31,425,0,28,,,N
462,0,TCP,20.107.96.130,443,51240,76,132,0,28,,,N
464,1,UDP,192.168.77.106,,,,39,0,,,,N
464,,DNS,192.168.77.106,,,,39,0,,,,N
467,0,UDP,192.168.77.1,,,,171,0,,,,N
467,,DNS,192.168.77.1,,,,171,0,,,,N
500,0,TCP,204.79.197.222,443,51242,504,0,0,31,,,N
501,0,TCP,204.79.197.222,443,51242,0,150,0,31,,,N
506,0,TCP,204.79.197.222,443,51242,51,0,0,31,,,N
507,0,TCP,204.79.197.222,443,51242,0,69,0,31,,,N
510,0,TCP,204.79.197.222,443,51242,1007,0,0,31,,,N
511,0,TCP,204.79.197.222,443,51242,0,231,0,31,,,N
512,0,TCP,204.79.197.222,443,51242,0,38,0,31,,,N
514,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
517,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
520,0,TCP,23.215.215.147,443,51237,921,0,0,24,,,N
523,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
526,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
527,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,,N
534,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,,N
535,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,,N
536,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
537,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
538,0,TCP,23.215.215.147,443,51237,1957,0,0,24,,,N
539,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
540,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
541,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,,N
542,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
543,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
544,0,TCP,23.215.215.147,443,51237,4320,0,0,24,,,N
545,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,,N
546,0,TCP,23.215.215.147,443,51237,1957,0,0,24,,,N
547,0,TCP,20.42.65.90,443,51241,400,99,0,30,,,N
550,0,TCP,204.79.197.222,443,51242,38,0,0,31,,,N
551,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,,N
552,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
553,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
554,0,TCP,23.215.215.147,443,51237,5760,0,0,24,,,N
555,0,TCP,23.215.215.147,443,51237,4320,0,0,24,,,N
556,0,TCP,23.215.215.147,443,51237,0,35,0,24,,,N
558,0,TCP,23.215.215.147,443,51237,0,35,0,24,,,N
560,0,TCP,23.215.215.147,443,51237,4228,0,0,24,,,N
561,0,TCP,23.215.215.147,443,51237,0,341,0,24,,,N
563,0,TCP,23.215.215.147,443,51237,0,31,0,24,,,N
565,0,TCP,20.42.65.90,443,51241,471,1440,0,30,,,N
567,0,TCP,20.42.65.90,443,51241,0,1440,0,30,,,N
569,0,TCP,20.42.65.90,443,51241,0,1440,0,30,,,N
571,0,TCP,20.42.65.90,443,51241,0,1440,0,30,,,N
573,0,TCP,20.42.65.90,443,51241,0,570,0,30,,,N
581,0,TCP,20.42.65.90,443,51241,74,103,0,30,,,N
582,0,TCP,20.42.65.90,443,51241,0,62,0,30,,,N
585,0,TCP,20.42.65.90,443,51241,1945,0,0,30,,,N
586,0,TCP,20.42.65.90,443,51241,696,0,0,30,,,N
587,0,TCP,20.42.65.90,443,51241,31,0,0,30,,,N
588,0,TCP,20.42.65.90,443,51241,31,314,0,30,,,N
590,2,UDP,192.168.77.106,,,,47,0,,,,N
590,,DNS,192.168.77.106,,,,47,0,,,,N
591,0,UDP,192.168.77.106,,,,47,0,,,,N
591,,DNS,192.168.77.106,,,,47,0,,,,N
592,0,UDP,192.168.77.1,,,,160,0,,,,N
592,,DNS,192.168.77.1,,,,160,0,,,,N
594,0,UDP,1.1.1.1,,,,208,0,,,,N
594,,DNS,1.1.1.1,,,,208,0,,,,N
598,0,TCP,23.48.244.72,443,51243,295,0,0,32,,,N
599,0,TCP,23.48.244.72,443,51243,0,1440,0,32,,,N
601,0,TCP,23.48.244.72,443,51243,0,1440,0,32,,,N
603,0,TCP,23.48.244.72,443,51243,0,1216,0,32,,,N
605,0,TCP,23.48.244.72,443,51243,0,1440,0,32,,,N
607,0,TCP,23.48.244.72,443,51243,0,451,0,32,,,N
612,0,TCP,23.48.244.72,443,51243,80,0,0,32,,,N
613,0,TCP,23.48.244.72,443,51243,0,287,0,32,,,N
615,0,TCP,23.48.244.72,443,51243,0,287,0,32,,,N
617,0,TCP,23.48.244.72,443,51243,80,0,0,32,,,N
618,0,TCP,23.48.244.72,443,51243,300,0,0,32,,,N
619,0,TCP,23.48.244.72,443,51243,0,61,0,32,,,N
620,0,TCP,23.48.244.72,443,51243,0,31,0,32,,,N
621,0,TCP,23.48.244.72,443,51243,0,209,0,32,,,N
622,0,TCP,23.48.244.72,443,51243,0,74,0,32,,,N
626,0,TCP,23.48.244.72,443,51243,31,0,0,32,,,N
627,0,TCP,23.48.244.72,443,51243,78,0,0,32,,,N
628,0,TCP,23.48.244.72,443,51243,0,209,0,32,,,N
629,0,TCP,23.48.244.72,443,51243,0,74,0,32,,,N
631,0,UDP,192.168.77.106,,,,53,0,,,,N
631,,DNS,192.168.77.106,,,,53,0,,,,N
632,0,UDP,192.168.77.106,,,,53,0,,,,N
632,,DNS,192.168.77.106,,,,53,0,,,,N
633,0,UDP,192.168.77.1,,,,128,0,,,,N
633,,DNS,192.168.77.1,,,,128,0,,,,N
638,0,TCP,117.18.232.200,443,51244,301,0,0,33,,,N
639,0,TCP,117.18.232.200,443,51244,0,99,0,33,,,N
642,0,TCP,117.18.232.200,443,51244,340,1440,0,33,,,N
644,0,TCP,117.18.232.200,443,51244,0,1440,0,33,,,N
646,0,TCP,117.18.232.200,443,51244,0,1216,0,33,,,N
648,0,TCP,117.18.232.200,443,51244,0,1440,0,33,,,N
650,0,TCP,117.18.232.200,443,51244,0,1440,0,33,,,N
652,0,TCP,117.18.232.200,443,51244,0,417,0,33,,,N
657,0,UDP,1.1.1.1,,,,128,0,,,,N
657,,DNS,1.1.1.1,,,,128,0,,,,N
658,0,TCP,117.18.232.200,443,51244,74,255,0,33,,,N
660,0,TCP,117.18.232.200,443,51244,0,255,0,33,,,N
662,0,TCP,117.18.232.200,443,51244,0,96,0,33,,,N
665,0,TCP,117.18.232.200,443,51244,385,0,0,33,,,N
666,0,TCP,117.18.232.200,443,51244,0,31,0,33,,,N
668,0,TCP,117.18.232.200,443,51244,0,696,0,33,,,N
671,0,TCP,117.18.232.200,443,51244,108,0,0,33,,,N
672,0,TCP,117.18.232.200,443,51244,0,217,0,33,,,N
674,0,UDP,192.168.77.106,,,,43,0,,,,N
674,,DNS,192.168.77.106,,,,43,0,,,,N
675,0,UDP,192.168.77.1,,,,126,0,,,,N
675,,DNS,192.168.77.1,,,,126,0,,,,N
680,0,TCP,13.107.246.254,443,51245,291,0,0,34,,,N
681,0,TCP,13.107.246.254,443,51245,0,1410,0,34,,,N
683,0,TCP,13.107.246.254,443,51245,0,1410,0,34,,,N
685,0,TCP,13.107.246.254,443,51245,0,1276,0,34,,,N
687,0,TCP,13.107.246.254,443,51245,0,1410,0,34,,,N
689,0,TCP,13.107.246.254,443,51245,0,1410,0,34,,,N
691,0,TCP,13.107.246.254,443,51245,0,193,0,34,,,N
695,0,TCP,13.107.246.254,443,51245,213,0,0,34,,,N
696,0,TCP,13.107.246.254,443,51245,0,51,0,34,,,N
699,0,TCP,13.107.246.254,443,51245,0,78,0,34,,,N
702,0,TCP,13.107.246.254,443,51245,343,0,0,34,,,N
703,0,TCP,13.107.246.254,443,51245,0,264,0,34,,,N
706,0,TCP,13.107.246.254,443,51245,82,264,0,34,,,N
709,3,TCP,204.79.197.222,443,51242,663,0,0,31,,,N
710,0,TCP,204.79.197.222,443,51242,0,153,0,31,,,N
711,0,TCP,204.79.197.222,443,51242,0,38,0,31,,,N
714,30,TCP,104.18.1.181,443,50884,35,0,0,5,,,N
720,3,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
721,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,,N
722,0,TCP,23.215.215.147,443,51237,815,0,0,24,,,N
723,0,TCP,23.215.215.147,443,51237,990,0,0,24,,,N
724,0,TCP,23.215.215.147,443,51237,31,0,0,24,,,N
725,0,TCP,23.215.215.147,443,51237,0,340,0,24,,,N
727,0,TCP,23.215.215.147,443,51237,0,31,0,24,,,N
729,1,UDP,192.168.77.106,,,,48,0,,,,N
729,,DNS,192.168.77.106,,,,48,0,,,,N
730,0,UDP,192.168.77.1,,,,78,0,,,,N
730,,DNS,192.168.77.1,,,,78,0,,,,N
735,0,TCP,136.144.57.121,443,51246,296,0,0,35,,,N
736,0,TCP,136.144.57.121,443,51246,0,1440,0,35,,,N
737,0,TCP,136.144.57.121,443,51246,0,1440,0,35,,,N
739,0,TCP,136.144.57.121,443,51246,0,1216,0,35,,,N
740,0,TCP,136.144.57.121,443,51246,0,805,0,35,,,N
745,0,TCP,136.144.57.121,443,51246,80,87,0,35,,,N
746,0,TCP,136.144.57.121,443,51246,0,87,0,35,,,N
747,0,TCP,136.144.57.121,443,51246,0,62,0,35,,,N
750,0,TCP,136.144.57.121,443,51246,208,0,0,35,,,N
751,0,TCP,136.144.57.121,443,51246,0,274,0,35,,,N
752,0,TCP,136.144.57.121,443,51246,0,467,0,35,,,N
755,0,TCP,136.144.57.121,443,51246,32,0,0,35,,,N
759,,ARP,,,,,60,0,,,,N
760,,ARP,,,,,42,0,,,,N
762,29,TCP,35.186.224.39,443,51064,43,0,0,9,,,N
763,0,TCP,35.186.224.39,443,51064,0,40,0,9,,,N
767,0,UDP,192.168.77.106,,,,145,0,,,,N
768,0,UDP,192.168.77.1,,,,494,0,,,,N
770,21,TCP,163.70.143.60,443,51007,70,0,0,6,,,N
771,0,TCP,163.70.143.60,443,51007,0,72,0,6,,,N
777,0,TCP,192.168.77.1,1900,51247,145,0,0,38,,,N
778,0,TCP,192.168.77.1,1900,51247,0,261,0,38,,,N
779,0,TCP,192.168.77.1,1900,51247,0,1460,0,38,,,N
781,0,TCP,192.168.77.1,1900,51247,0,1460,0,38,,,N
782,0,TCP,192.168.77.1,1900,51247,0,463,0,38,,,N
786,0,TCP,192.168.77.1,1900,51247,1,0,0,38,,,N
790,0,TCP,192.168.77.1,1900,51248,592,0,0,39,,,N
791,0,TCP,192.168.77.1,1900,51248,0,218,0,39,,,N
792,0,TCP,192.168.77.1,1900,51248,0,416,0,39,,,N
796,0,TCP,192.168.77.1,1900,51248,1,0,0,39,,,N
800,0,TCP,192.168.77.1,1900,51249,613,0,0,40,,,N
801,0,TCP,192.168.77.1,1900,51249,0,218,0,40,,,N
802,0,TCP,192.168.77.1,1900,51249,0,343,0,40,,,N
806,0,TCP,192.168.77.1,1900,51249,1,0,0,40,,,N
810,0,TCP,192.168.77.1,1900,51250,917,0,0,41,,,N
811,0,TCP,192.168.77.1,1900,51250,0,218,0,41,,,N
812,0,TCP,192.168.77.1,1900,51250,0,268,0,41,,,N
815,0,TCP,192.168.77.1,1900,51250,1,0,0,41,,,N
816,0,UDP,192.168.77.1,,,,426,0,,,,N
817,0,UDP,192.168.77.1,,,,435,0,,,,N
818,0,UDP,192.168.77.1,,,,498,0,,,,N
819,0,UDP,192.168.77.1,,,,490,0,,,,N
820,0,UDP,192.168.77.1,,,,435,0,,,,N
821,0,UDP,192.168.77.1,,,,474,0,,,,N
822,0,UDP,192.168.77.1,,,,506,0,,,,N
823,0,UDP,192.168.77.1,,,,435,0,,,,N
824,0,UDP,192.168.77.1,,,,494,0,,,,N
825,0,UDP,192.168.77.1,,,,488,0,,,,N
826,0,UDP,192.168.77.1,,,,426,0,,,,N
827,0,UDP,192.168.77.1,,,,435,0,,,,N
828,0,UDP,192.168.77.1,,,,498,0,,,,N
829,0,UDP,192.168.77.1,,,,490,0,,,,N
830,0,UDP,192.168.77.1,,,,435,0,,,,N
831,0,UDP,192.168.77.1,,,,474,0,,,,N
832,0,UDP,192.168.77.1,,,,506,0,,,,N
833,0,UDP,192.168.77.1,,,,435,0,,,,N
834,0,UDP,192.168.77.1,,,,494,0,,,,N
835,0,UDP,192.168.77.1,,,,488,0,,,,N
837,13,UDP,192.168.77.106,,,,41,0,,,,N
837,,DNS,192.168.77.106,,,,41,0,,,,N
838,0,UDP,192.168.77.1,,,,153,0,,,,N
838,,DNS,192.168.77.1,,,,153,0,,,,N
839,0,UDP,192.168.77.106,,,,41,0,,,,N
839,,DNS,192.168.77.106,,,,41,0,,,,N
841,0,UDP,192.168.77.1,,,,94,0,,,,N
841,,DNS,192.168.77.1,,,,94,0,,,,N
845,0,TCP,23.109.170.137,443,51251,855,0,0,42,,,N
846,0,TCP,23.109.170.137,443,51251,0,387,0,42,,,N
849,0,TCP,23.109.170.137,443,51251,592,0,0,42,,,N
850,0,TCP,23.109.170.137,443,51251,0,1440,0,42,,,N
851,0,TCP,23.109.170.137,443,51251,0,229,0,42,,,N
853,19,TCP,23.215.215.147,443,51238,0,24,0,25,,,N
855,0,TCP,23.215.215.147,443,51238,0,0,0,25,,,N
861,0,UDP,192.168.77.106,,,,145,0,,,,N
862,0,UDP,192.168.77.1,,,,494,0,,,,N
864,0,UDP,192.168.77.101,,,,107,1,,,,N
865,0,UDP,192.168.77.101,,,,107,1,,,,N
866,0,UDP,,,,,107,0,,,,N
867,0,UDP,,,,,107,0,,,,N
872,0,UDP,0.0.0.0,,,,308,0,,,,N
872,,DHCP,0.0.0.0,,,,308,0,,,,N
874,,ARP,,,,,60,0,,,,N
876,0,UDP,,,,,107,0,,,,N
877,,ARP,,,,,60,0,,,,N
878,1,UDP,0.0.0.0,,,,308,0,,,,N
878,,DHCP,0.0.0.0,,,,308,0,,,,N
879,1,UDP,,,,,107,0,,,,N
880,,ARP,,,,,60,0,,,,N
885,0,TCP,192.168.77.1,1900,51252,145,0,0,43,,,N
886,0,TCP,192.168.77.1,1900,51252,0,261,0,43,,,N
887,0,TCP,192.168.77.1,1900,51252,0,1460,0,43,,,N
889,0,TCP,192.168.77.1,1900,51252,0,1460,0,43,,,N
890,0,TCP,192.168.77.1,1900,51252,0,463,0,43,,,N
894,0,TCP,192.168.77.1,1900,51252,1,0,0,43,,,N
898,0,TCP,192.168.77.1,1900,51253,592,0,0,44,,,N
899,0,TCP,192.168.77.1,1900,51253,0,218,0,44,,,N
900,0,TCP,192.168.77.1,1900,51253,0,416,0,44,,,N
904,0,TCP,192.168.77.1,1900,51253,1,0,0,44,,,N
