Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Packet Number,Time(seconds),socket_count
473,0,TCP,192.168.136.132,60464,443,0,0,0,10,145,61,2
474,0,TCP,192.168.136.132,60464,443,0,657,0,10,146,61,2
475,0,TCP,34.107.243.93,443,60464,657,0,0,10,147,61,2
476,0,TCP,34.107.243.93,443,60464,0,218,0,10,148,61,2
477,0,TCP,192.168.136.132,60464,443,0,0,0,10,149,61,2
478,0,TCP,192.168.136.132,60464,443,0,64,0,10,150,61,2
479,0,TCP,34.107.243.93,443,60464,503,0,0,10,151,61,2
480,0,TCP,192.168.136.132,60464,443,0,620,0,10,152,61,2
481,0,TCP,34.107.243.93,443,60464,1123,0,0,10,153,61,2
482,0,TCP,34.107.243.93,443,60464,0,798,0,10,154,61,2
483,0,TCP,192.168.136.132,60464,443,0,139,0,10,155,61,2
484,0,TCP,34.107.243.93,443,60464,464,0,0,10,156,61,2
485,0,TCP,34.107.243.93,443,60464,0,192,0,10,157,61,2
488,0,TCP,192.168.136.132,60464,443,0,0,0,10,158,61,2
492,0,TCP,34.149.100.209,443,55728,1,0,0,11,159,61,2
493,0,TCP,192.168.136.132,55728,443,0,0,0,11,160,61,2
494,0,TCP,192.168.136.132,55728,443,0,218,0,11,161,61,2
495,0,TCP,34.149.100.209,443,55728,218,0,0,11,162,61,2
496,0,TCP,34.149.100.209,443,55728,0,1412,0,11,163,61,2
497,0,TCP,34.149.100.209,443,55728,0,1412,0,11,164,61,2
498,0,TCP,34.149.100.209,443,55728,0,1412,0,11,165,61,2
499,0,TCP,34.149.100.209,443,55728,0,236,0,11,166,61,2
500,0,TCP,192.168.136.132,55728,443,1194,0,0,11,167,61,2
501,0,TCP,192.168.136.132,55728,443,1412,0,0,11,168,61,2
502,0,TCP,192.168.136.132,55728,443,1412,0,0,11,169,61,2
503,0,TCP,192.168.136.132,55728,443,236,0,0,11,170,61,2
504,0,TCP,192.168.136.132,55728,443,0,93,0,11,171,61,2
505,0,TCP,34.149.100.209,443,55728,0,0,0,11,172,61,2
506,0,TCP,34.149.100.209,443,55728,0,364,0,11,173,61,2
507,0,TCP,192.168.136.132,55728,443,4525,177,0,11,174,61,2
508,0,TCP,34.149.100.209,443,55728,0,0,0,11,175,61,2
509,0,TCP,192.168.136.132,55728,443,4348,243,0,11,176,61,2
510,0,TCP,34.149.100.209,443,55728,0,0,0,11,177,61,2
511,0,TCP,192.168.136.132,55728,443,4105,38,0,11,178,61,2
512,0,TCP,34.149.100.209,443,55728,0,0,0,11,179,61,2
513,0,TCP,34.149.100.209,443,55728,0,38,0,11,180,61,2
514,0,TCP,192.168.136.132,55728,443,4105,0,0,11,181,61,2
515,0,TCP,34.149.100.209,443,55728,0,331,0,11,182,61,2
516,0,TCP,192.168.136.132,55728,443,4436,0,0,11,183,61,2
517,0,TCP,34.149.100.209,443,55728,0,1412,0,11,184,61,2
518,0,TCP,34.149.100.209,443,55728,0,1412,0,11,185,61,2
519,0,TCP,192.168.136.132,55728,443,5848,0,0,11,186,61,2
520,0,TCP,192.168.136.132,55728,443,1412,0,0,11,187,61,2
521,0,TCP,34.149.100.209,443,55728,0,1412,0,11,188,61,2
522,0,TCP,192.168.136.132,55728,443,8672,0,0,11,189,61,2
523,0,TCP,34.149.100.209,443,55728,0,1412,0,11,190,61,2
524,0,TCP,192.168.136.132,55728,443,10084,0,0,11,191,61,2
525,0,TCP,34.149.100.209,443,55728,0,1412,0,11,192,61,2
526,0,TCP,192.168.136.132,55728,443,11496,0,0,11,193,61,2
527,0,TCP,34.149.100.209,443,55728,0,1412,0,11,194,61,2
528,0,TCP,192.168.136.132,55728,443,12908,0,0,11,195,61,2
529,0,TCP,34.149.100.209,443,55728,0,1412,0,11,196,61,2
530,0,TCP,34.149.100.209,443,55728,0,1412,0,11,197,61,2
531,0,TCP,192.168.136.132,55728,443,15732,0,0,11,198,61,2
532,0,TCP,34.149.100.209,443,55728,0,1412,0,11,199,61,2
533,0,TCP,34.149.100.209,443,55728,0,1412,0,11,200,61,2
534,0,TCP,192.168.136.132,55728,443,18556,0,0,11,201,61,2
535,0,TCP,34.149.100.209,443,55728,0,1412,0,11,202,61,2
536,0,TCP,34.149.100.209,443,55728,0,1412,0,11,203,61,2
537,0,TCP,192.168.136.132,55728,443,21380,0,0,11,204,61,2
538,0,TCP,34.149.100.209,443,55728,0,1412,0,11,205,61,2
539,0,TCP,34.149.100.209,443,55728,0,1412,0,11,206,61,2
540,0,TCP,192.168.136.132,55728,443,24204,0,0,11,207,61,2
541,0,TCP,34.149.100.209,443,55728,0,1412,0,11,208,61,2
542,0,TCP,34.149.100.209,443,55728,0,1412,0,11,209,61,2
543,0,TCP,192.168.136.132,55728,443,27028,0,0,11,210,61,2
544,0,TCP,34.149.100.209,443,55728,0,1412,0,11,211,61,2
545,0,TCP,34.149.100.209,443,55728,0,1199,0,11,212,61,2
546,0,TCP,192.168.136.132,55728,443,29639,0,0,11,213,61,2
547,0,TCP,192.168.136.132,55728,443,0,46,0,11,214,61,2
548,0,TCP,34.149.100.209,443,55728,0,0,0,11,215,61,2
549,0,TCP,192.168.136.132,55728,443,29593,173,0,11,216,61,2
550,0,TCP,34.149.100.209,443,55728,0,0,0,11,217,61,2
551,0,TCP,34.149.100.209,443,55728,0,127,0,11,218,61,2
552,0,TCP,34.149.100.209,443,55728,0,1412,0,11,219,61,2
553,0,TCP,192.168.136.132,55728,443,30959,0,0,11,220,61,2
554,0,TCP,34.149.100.209,443,55728,0,1412,0,11,221,61,2
555,0,TCP,34.149.100.209,443,55728,0,1412,0,11,222,61,2
556,0,TCP,34.149.100.209,443,55728,0,1412,0,11,223,61,2
557,0,TCP,192.168.136.132,55728,443,33783,0,0,11,224,61,2
558,0,TCP,34.149.100.209,443,55728,0,1412,0,11,225,61,2
559,0,TCP,192.168.136.132,55728,443,36607,0,0,11,226,61,2
560,0,TCP,34.149.100.209,443,55728,0,1412,0,11,227,61,2
561,0,TCP,34.149.100.209,443,55728,0,1412,0,11,228,61,2
562,0,TCP,34.149.100.209,443,55728,0,1412,0,11,229,61,2
563,0,TCP,192.168.136.132,55728,443,39431,0,0,11,230,61,2
564,0,TCP,34.149.100.209,443,55728,0,1412,0,11,231,61,2
565,0,TCP,192.168.136.132,55728,443,42255,0,0,11,232,61,2
566,0,TCP,34.149.100.209,443,55728,0,1412,0,11,233,61,2
567,0,TCP,34.149.100.209,443,55728,0,1412,0,11,234,61,2
568,0,TCP,192.168.136.132,55728,443,45079,0,0,11,235,61,2
569,0,TCP,34.149.100.209,443,55728,0,1412,0,11,236,61,2
570,0,TCP,34.149.100.209,443,55728,0,1412,0,11,237,61,2
