Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count
356,0,TCP,23.215.215.147,443,51238,573,0,0,25,,
357,0,TCP,23.215.215.147,443,51238,0,264,0,25,,
364,0,TCP,52.98.88.242,443,51239,816,291,0,27,,
373,0,TCP,52.98.88.242,443,51239,74,62,0,27,,
376,0,TCP,52.98.88.242,443,51239,1970,0,0,27,,
377,0,TCP,23.215.215.147,443,51237,31,0,0,24,,
378,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
379,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
380,0,TCP,23.215.215.147,443,51237,788,0,0,24,,
381,0,TCP,23.215.215.147,443,51238,80,0,0,25,,
382,0,TCP,23.215.215.147,443,51238,80,0,0,25,,
383,0,TCP,23.215.215.147,443,51238,0,271,0,25,,
385,0,TCP,23.215.215.147,443,51238,0,61,0,25,,
386,0,TCP,23.215.215.147,443,51238,0,31,0,25,,
389,0,TCP,52.98.88.242,443,51239,31,31,0,27,,
391,0,TCP,23.215.215.147,443,51237,0,340,0,24,,
392,0,TCP,23.215.215.147,443,51237,0,31,0,24,,
394,0,TCP,52.98.88.242,443,51239,0,1001,0,27,,
395,0,TCP,52.98.88.242,443,51239,0,220,0,27,,
396,0,TCP,52.98.88.242,443,51239,0,31,0,27,,
398,0,TCP,23.215.215.147,443,51238,31,0,0,25,,
399,0,TCP,20.107.96.130,443,51240,327,99,0,28,,
402,0,TCP,23.215.215.147,443,51237,0,724,0,24,,
404,0,TCP,23.215.215.147,443,51237,0,1440,0,24,,
406,0,TCP,23.215.215.147,443,51237,0,108,0,24,,
412,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
413,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
414,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
415,0,TCP,23.215.215.147,443,51237,1353,0,0,24,,
416,0,TCP,20.107.96.130,443,51240,398,1440,0,28,,
418,0,TCP,20.107.96.130,443,51240,0,1440,0,28,,
420,0,TCP,20.107.96.130,443,51240,0,1440,0,28,,
422,0,TCP,20.107.96.130,443,51240,0,1440,0,28,,
424,0,TCP,20.107.96.130,443,51240,0,365,0,28,,
433,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
434,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
435,0,TCP,23.215.215.147,443,51237,2794,0,0,24,,
436,0,TCP,23.215.215.147,443,51237,0,686,0,24,,
438,0,TCP,23.215.215.147,443,51237,0,1440,0,24,,
440,0,TCP,23.215.215.147,443,51237,0,249,0,24,,
442,0,TCP,20.107.96.130,443,51240,74,103,0,28,,
444,0,TCP,20.107.96.130,443,51240,0,62,0,28,,
447,0,TCP,20.107.96.130,443,51240,393,0,0,28,,
448,0,TCP,23.215.215.147,443,51237,0,686,0,24,,
450,0,TCP,23.215.215.147,443,51237,0,1440,0,24,,
452,0,TCP,23.215.215.147,443,51237,0,466,0,24,,
456,0,TCP,20.107.96.130,443,51240,31,425,0,28,,
462,0,TCP,20.107.96.130,443,51240,76,132,0,28,,
500,0,TCP,204.79.197.222,443,51242,504,0,0,31,,
