Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,window_size,sql,stream
4500,9,TCP,192.168.136.131,80,53350,0,0,0,0,7
50,0,TCP,192.168.136.132,53350,80,1,0,64256,0,7
52,0,TCP,192.168.136.132,53350,80,0,21,64256,0,7
54,0,TCP,192.168.136.132,53350,80,0,168,64256,0,7
2462,0,TCP,192.168.136.132,53350,80,0,11,64256,0,7
3181,15,TCP,192.168.136.132,53350,80,0,11,64256,0,7
3950,5,TCP,192.168.136.132,53350,80,482,0,64128,0,7
4262,0,TCP,192.168.136.132,53350,80,1,0,64128,0,7
4494,9,TCP,192.168.136.132,53350,80,0,11,64128,0,7
60,0,TCP,192.168.136.131,80,53358,21,0,65152,0,8
64,0,TCP,192.168.136.131,80,53358,168,0,65024,0,8
2479,0,TCP,192.168.136.131,80,53358,11,0,65024,0,8
3186,15,TCP,192.168.136.131,80,53358,11,0,65024,0,8
3914,5,TCP,192.168.136.131,80,53358,0,482,65024,0,8
3919,0,TCP,192.168.136.131,80,53358,0,0,65024,0,8
4501,9,TCP,192.168.136.131,80,53358,0,0,0,0,8
58,0,TCP,192.168.136.132,53358,80,1,0,64256,0,8
59,0,TCP,192.168.136.132,53358,80,0,21,64256,0,8
63,0,TCP,192.168.136.132,53358,80,0,168,64256,0,8
2471,0,TCP,192.168.136.132,53358,80,0,11,64256,0,8
3182,15,TCP,192.168.136.132,53358,80,0,11,64256,0,8
3948,5,TCP,192.168.136.132,53358,80,482,0,64128,0,8
4261,0,TCP,192.168.136.132,53358,80,1,0,64128,0,8
4495,9,TCP,192.168.136.132,53358,80,0,10,64128,0,8
67,0,TCP,192.168.136.131,80,53362,21,0,65152,0,9
71,0,TCP,192.168.136.131,80,53362,168,0,65024,0,9
2480,0,TCP,192.168.136.131,80,53362,10,0,65024,0,9
3187,15,TCP,192.168.136.131,80,53362,11,0,65024,0,9
3906,5,TCP,192.168.136.131,80,53362,0,482,65024,0,9
3911,0,TCP,192.168.136.131,80,53362,0,0,65024,0,9
4502,9,TCP,192.168.136.131,80,53362,0,0,0,0,9
65,0,TCP,192.168.136.132,53362,80,1,0,64256,0,9
66,0,TCP,192.168.136.132,53362,80,0,21,64256,0,9
70,0,TCP,192.168.136.132,53362,80,0,168,64256,0,9
2472,0,TCP,192.168.136.132,53362,80,0,10,64256,0,9
3183,15,TCP,192.168.136.132,53362,80,0,11,64256,0,9
3912,5,TCP,192.168.136.132,53362,80,482,0,64128,0,9
4234,0,TCP,192.168.136.132,53362,80,1,0,64128,0,9
4496,9,TCP,192.168.136.132,53362,80,0,11,64128,0,9
74,0,TCP,192.168.136.131,80,53366,21,0,65152,0,10
78,0,TCP,192.168.136.131,80,53366,168,0,65024,0,10
2482,0,TCP,192.168.136.131,80,53366,11,0,65024,0,10
3191,15,TCP,192.168.136.131,80,53366,11,0,65024,0,10
3922,5,TCP,192.168.136.131,80,53366,0,482,65024,0,10
3924,0,TCP,192.168.136.131,80,53366,0,0,65024,0,10
4503,9,TCP,192.168.136.131,80,53366,0,0,0,0,10
72,0,TCP,192.168.136.132,53366,80,1,0,64256,0,10
73,0,TCP,192.168.136.132,53366,80,0,21,64256,0,10
76,0,TCP,192.168.136.132,53366,80,0,168,64256,0,10
2474,0,TCP,192.168.136.132,53366,80,0,11,64256,0,10
3188,15,TCP,192.168.136.132,53366,80,0,11,64256,0,10
3952,5,TCP,192.168.136.132,53366,80,482,0,64128,0,10
4259,0,TCP,192.168.136.132,53366,80,1,0,64128,0,10
4497,9,TCP,192.168.136.132,53366,80,0,11,64128,0,10
81,0,TCP,192.168.136.131,80,53376,21,0,65152,0,11
85,0,TCP,192.168.136.131,80,53376,168,0,65024,0,11
2483,0,TCP,192.168.136.131,80,53376,11,0,65024,0,11
3192,15,TCP,192.168.136.131,80,53376,11,0,65024,0,11
3923,5,TCP,192.168.136.131,80,53376,0,482,65024,0,11
3925,0,TCP,192.168.136.131,80,53376,0,0,65024,0,11
4512,9,TCP,192.168.136.131,80,53376,0,0,0,0,11
79,0,TCP,192.168.136.132,53376,80,1,0,64256,0,11
80,0,TCP,192.168.136.132,53376,80,0,21,64256,0,11
84,0,TCP,192.168.136.132,53376,80,0,168,64256,0,11
2475,0,TCP,192.168.136.132,53376,80,0,11,64256,0,11
3189,15,TCP,192.168.136.132,53376,80,0,11,64256,0,11
3953,5,TCP,192.168.136.132,53376,80,482,0,64128,0,11
4258,0,TCP,192.168.136.132,53376,80,1,0,64128,0,11
4504,9,TCP,192.168.136.132,53376,80,0,11,64128,0,11
88,0,TCP,192.168.136.131,80,53382,21,0,65152,0,12
91,0,TCP,192.168.136.131,80,53382,168,0,65024,0,12
2484,0,TCP,192.168.136.131,80,53382,11,0,65024,0,12
3193,15,TCP,192.168.136.131,80,53382,11,0,65024,0,12
3936,5,TCP,192.168.136.131,80,53382,0,482,65024,0,12
3938,0,TCP,192.168.136.131,80,53382,0,0,65024,0,12
4513,9,TCP,192.168.136.131,80,53382,0,0,0,0,12
86,0,TCP,192.168.136.132,53382,80,1,0,64256,0,12
87,0,TCP,192.168.136.132,53382,80,0,21,64256,0,12
89,0,TCP,192.168.136.132,53382,80,0,168,64256,0,12
2476,0,TCP,192.168.136.132,53382,80,0,11,64256,0,12
3190,15,TCP,192.168.136.132,53382,80,0,11,64256,0,12
3959,5,TCP,192.168.136.132,53382,80,482,0,64128,0,12
4252,0,TCP,192.168.136.132,53382,80,1,0,64128,0,12
4505,9,TCP,192.168.136.132,53382,80,0,11,64128,0,12
95,0,TCP,192.168.136.131,80,53394,20,0,65152,0,13
99,0,TCP,192.168.136.131,80,53394,168,0,65024,0,13
2485,0,TCP,192.168.136.131,80,53394,11,0,65024,0,13
3195,15,TCP,192.168.136.131,80,53394,10,0,65024,0,13
3907,5,TCP,192.168.136.131,80,53394,0,482,65024,0,13
3910,0,TCP,192.168.136.131,80,53394,0,0,65024,0,13
4514,9,TCP,192.168.136.131,80,53394,0,0,0,0,13
93,0,TCP,192.168.136.132,53394,80,1,0,64256,0,13
94,0,TCP,192.168.136.132,53394,80,0,20,64256,0,13
98,0,TCP,192.168.136.132,53394,80,0,168,64256,0,13
2477,0,TCP,192.168.136.132,53394,80,0,11,64256,0,13
3194,15,TCP,192.168.136.132,53394,80,0,10,64256,0,13
3913,5,TCP,192.168.136.132,53394,80,482,0,64128,0,13
4235,0,TCP,192.168.136.132,53394,80,1,0,64128,0,13
4506,9,TCP,192.168.136.132,53394,80,0,10,64128,0,13
102,0,TCP,192.168.136.131,80,53408,20,0,65152,0,14
106,0,TCP,192.168.136.131,80,53408,168,0,65024,0,14
2486,0,TCP,192.168.136.131,80,53408,10,0,65024,0,14
3197,15,TCP,192.168.136.131,80,53408,11,0,65024,0,14
3894,5,TCP,192.168.136.131,80,53408,0,482,65024,0,14
3895,0,TCP,192.168.136.131,80,53408,0,0,65024,0,14
4515,9,TCP,192.168.136.131,80,53408,0,0,0,0,14
100,0,TCP,192.168.136.132,53408,80,1,0,64256,0,14
101,0,TCP,192.168.136.132,53408,80,0,20,64256,0,14
104,0,TCP,192.168.136.132,53408,80,0,168,64256,0,14
2478,0,TCP,192.168.136.132,53408,80,0,10,64256,0,14
3196,15,TCP,192.168.136.132,53408,80,0,11,64256,0,14
3904,5,TCP,192.168.136.132,53408,80,482,0,64128,0,14
4221,0,TCP,192.168.136.132,53408,80,1,0,64128,0,14
4507,9,TCP,192.168.136.132,53408,80,0,11,64128,0,14
109,0,TCP,192.168.136.131,80,53420,21,0,65152,0,15
113,0,TCP,192.168.136.131,80,53420,168,0,65024,0,15
2495,0,TCP,192.168.136.131,80,53420,10,0,65024,0,15
3202,15,TCP,192.168.136.131,80,53420,11,0,65024,0,15
3891,5,TCP,192.168.136.131,80,53420,0,482,65024,0,15
3896,0,TCP,192.168.136.131,80,53420,0,0,65024,0,15
4516,9,TCP,192.168.136.131,80,53420,0,0,0,0,15
107,0,TCP,192.168.136.132,53420,80,1,0,64256,0,15
108,0,TCP,192.168.136.132,53420,80,0,21,64256,0,15
111,0,TCP,192.168.136.132,53420,80,0,168,64256,0,15
2487,0,TCP,192.168.136.132,53420,80,0,10,64256,0,15
3198,15,TCP,192.168.136.132,53420,80,0,11,64256,0,15
3899,5,TCP,192.168.136.132,53420,80,482,0,64128,0,15
4220,0,TCP,192.168.136.132,53420,80,1,0,64128,0,15
4508,9,TCP,192.168.136.132,53420,80,0,11,64128,0,15
117,0,TCP,192.168.136.131,80,53432,21,0,65152,0,16
122,0,TCP,192.168.136.131,80,53432,168,0,65024,0,16
2496,0,TCP,192.168.136.131,80,53432,11,0,65024,0,16
3203,15,TCP,192.168.136.131,80,53432,10,0,65024,0,16
3883,5,TCP,192.168.136.131,80,53432,0,482,65024,0,16
3900,0,TCP,192.168.136.131,80,53432,0,0,65024,0,16
4517,9,TCP,192.168.136.131,80,53432,0,0,0,0,16
114,0,TCP,192.168.136.132,53432,80,1,0,64256,0,16
115,0,TCP,192.168.136.132,53432,80,0,21,64256,0,16
119,0,TCP,192.168.136.132,53432,80,0,168,64256,0,16
2488,0,TCP,192.168.136.132,53432,80,0,11,64256,0,16
3199,15,TCP,192.168.136.132,53432,80,0,10,64256,0,16
3893,5,TCP,192.168.136.132,53432,80,482,0,64128,0,16
4219,0,TCP,192.168.136.132,53432,80,1,0,64128,0,16
4509,9,TCP,192.168.136.132,53432,80,0,11,64128,0,16
123,0,TCP,192.168.136.131,80,53434,20,0,65152,0,17
128,0,TCP,192.168.136.131,80,53434,168,0,65024,0,17
2497,0,TCP,192.168.136.131,80,53434,11,0,65024,0,17
3204,15,TCP,192.168.136.131,80,53434,11,0,65024,0,17
3928,5,TCP,192.168.136.131,80,53434,0,482,65024,0,17
3932,0,TCP,192.168.136.131,80,53434,0,0,65024,0,17
4518,9,TCP,192.168.136.131,80,53434,0,0,0,0,17
120,0,TCP,192.168.136.132,53434,80,1,0,64256,0,17
121,0,TCP,192.168.136.132,53434,80,0,20,64256,0,17
126,0,TCP,192.168.136.132,53434,80,0,168,64256,0,17
2489,0,TCP,192.168.136.132,53434,80,0,11,64256,0,17
3200,15,TCP,192.168.136.132,53434,80,0,11,64256,0,17
3955,5,TCP,192.168.136.132,53434,80,482,0,64128,0,17
4255,0,TCP,192.168.136.132,53434,80,1,0,64128,0,17
4510,9,TCP,192.168.136.132,53434,80,0,11,64128,0,17
130,0,TCP,192.168.136.131,80,53442,21,0,65152,0,18
133,0,TCP,192.168.136.131,80,53442,168,0,65024,0,18
2498,0,TCP,192.168.136.131,80,53442,11,0,65024,0,18
3205,15,TCP,192.168.136.131,80,53442,11,0,65024,0,18
3940,5,TCP,192.168.136.131,80,53442,0,482,65024,0,18
3944,0,TCP,192.168.136.131,80,53442,0,0,65024,0,18
4519,9,TCP,192.168.136.131,80,53442,0,0,0,0,18
127,0,TCP,192.168.136.132,53442,80,1,0,64256,0,18
129,0,TCP,192.168.136.132,53442,80,0,21,64256,0,18
131,0,TCP,192.168.136.132,53442,80,0,168,64256,0,18
2490,0,TCP,192.168.136.132,53442,80,0,11,64256,0,18
3201,15,TCP,192.168.136.132,53442,80,0,11,64256,0,18
3961,5,TCP,192.168.136.132,53442,80,482,0,64128,0,18
4249,0,TCP,192.168.136.132,53442,80,1,0,64128,0,18
4511,9,TCP,192.168.136.132,53442,80,0,11,64128,0,18
137,0,TCP,192.168.136.131,80,53446,21,0,65152,0,19
142,0,TCP,192.168.136.131,80,53446,168,0,65024,0,19
2499,0,TCP,192.168.136.131,80,53446,11,0,65024,0,19
3208,15,TCP,192.168.136.131,80,53446,11,0,65024,0,19
3926,5,TCP,192.168.136.131,80,53446,0,482,65024,0,19
