Packet Number,Time(seconds),Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,socket_count,sql,stream
658,1375,0,TCP,34.107.243.93,443,60456,141,0,4,0,9
659,1375,0,TCP,34.107.243.93,443,60456,0,39,4,0,9
660,1375,0,TCP,192.168.136.132,60456,443,0,0,4,0,9
669,1427,52,TCP,192.168.136.132,60456,443,0,39,4,0,9
670,1427,0,TCP,34.107.243.93,443,60456,141,0,4,0,9
671,1427,0,TCP,192.168.136.132,60456,443,0,24,4,0,9
672,1427,0,TCP,34.107.243.93,443,60456,165,0,4,0,9
673,1427,0,TCP,192.168.136.132,60456,443,0,0,4,0,9
674,1427,0,TCP,34.107.243.93,443,60456,166,0,4,0,9
675,1427,0,TCP,34.107.243.93,443,60456,0,0,4,0,9
676,1427,0,TCP,192.168.136.132,60456,443,0,0,4,0,9
472,1257,0,TCP,34.107.243.93,443,60464,1,0,4,0,10
473,1257,0,TCP,192.168.136.132,60464,443,0,0,5,0,10
474,1257,0,TCP,192.168.136.132,60464,443,0,657,5,0,10
475,1257,0,TCP,34.107.243.93,443,60464,657,0,5,0,10
476,1257,0,TCP,34.107.243.93,443,60464,0,218,5,0,10
477,1257,0,TCP,192.168.136.132,60464,443,0,0,5,0,10
478,1257,0,TCP,192.168.136.132,60464,443,0,64,5,0,10
479,1257,0,TCP,34.107.243.93,443,60464,503,0,5,0,10
480,1257,0,TCP,192.168.136.132,60464,443,0,620,5,0,10
481,1257,0,TCP,34.107.243.93,443,60464,1123,0,5,0,10
482,1258,0,TCP,34.107.243.93,443,60464,0,798,5,0,10
483,1258,0,TCP,192.168.136.132,60464,443,0,139,5,0,10
484,1258,0,TCP,34.107.243.93,443,60464,464,0,5,0,10
485,1258,0,TCP,34.107.243.93,443,60464,0,192,5,0,10
488,1258,0,TCP,192.168.136.132,60464,443,0,0,5,0,10
768,1862,604,TCP,192.168.136.132,60464,443,0,0,5,0,10
769,1863,1,TCP,192.168.136.132,60464,443,0,0,5,0,10
772,1863,0,TCP,34.107.243.93,443,60464,272,0,5,0,10
26243,2469,605,TCP,192.168.136.132,60464,443,0,0,5,0,10
26244,2469,0,TCP,34.107.243.93,443,60464,272,0,5,0,10
492,1258,0,TCP,34.149.100.209,443,55728,1,0,5,0,11
493,1258,0,TCP,192.168.136.132,55728,443,0,0,6,0,11
494,1258,0,TCP,192.168.136.132,55728,443,0,218,6,0,11
495,1258,0,TCP,34.149.100.209,443,55728,218,0,6,0,11
496,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
497,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
498,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
499,1258,0,TCP,34.149.100.209,443,55728,0,236,6,0,11
500,1258,0,TCP,192.168.136.132,55728,443,1194,0,6,0,11
501,1258,0,TCP,192.168.136.132,55728,443,1412,0,6,0,11
502,1258,0,TCP,192.168.136.132,55728,443,1412,0,6,0,11
503,1258,0,TCP,192.168.136.132,55728,443,236,0,6,0,11
504,1258,0,TCP,192.168.136.132,55728,443,0,93,6,0,11
505,1258,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
506,1258,0,TCP,34.149.100.209,443,55728,0,364,6,0,11
507,1258,0,TCP,192.168.136.132,55728,443,4525,177,6,0,11
508,1258,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
509,1258,0,TCP,192.168.136.132,55728,443,4348,243,6,0,11
510,1258,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
511,1258,0,TCP,192.168.136.132,55728,443,4105,38,6,0,11
512,1258,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
513,1258,0,TCP,34.149.100.209,443,55728,0,38,6,0,11
514,1258,0,TCP,192.168.136.132,55728,443,4105,0,6,0,11
515,1258,0,TCP,34.149.100.209,443,55728,0,331,6,0,11
516,1258,0,TCP,192.168.136.132,55728,443,4436,0,6,0,11
517,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
518,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
519,1258,0,TCP,192.168.136.132,55728,443,5848,0,6,0,11
520,1258,0,TCP,192.168.136.132,55728,443,1412,0,6,0,11
521,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
522,1258,0,TCP,192.168.136.132,55728,443,8672,0,6,0,11
523,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
524,1258,0,TCP,192.168.136.132,55728,443,10084,0,6,0,11
525,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
526,1258,0,TCP,192.168.136.132,55728,443,11496,0,6,0,11
527,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
528,1258,0,TCP,192.168.136.132,55728,443,12908,0,6,0,11
529,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
530,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
531,1258,0,TCP,192.168.136.132,55728,443,15732,0,6,0,11
532,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
533,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
534,1258,0,TCP,192.168.136.132,55728,443,18556,0,6,0,11
535,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
536,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
537,1258,0,TCP,192.168.136.132,55728,443,21380,0,6,0,11
538,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
539,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
540,1258,0,TCP,192.168.136.132,55728,443,24204,0,6,0,11
541,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
542,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
543,1258,0,TCP,192.168.136.132,55728,443,27028,0,6,0,11
544,1258,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
545,1258,0,TCP,34.149.100.209,443,55728,0,1199,6,0,11
546,1258,0,TCP,192.168.136.132,55728,443,29639,0,6,0,11
547,1258,0,TCP,192.168.136.132,55728,443,0,46,6,0,11
548,1258,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
