Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count,Label
0,TCP,172.64.151.101,443,34584,1460,0,0,159,,,N
0,TCP,172.64.151.101,443,34584,265,0,0,159,,,N
0,TCP,172.64.151.101,443,34578,187,0,0,158,,,N
0,TCP,172.67.10.198,443,49676,0,31,0,156,,,N
0,TCP,172.67.10.198,443,49676,0,0,0,156,,,N
0,TCP,192.168.136.131,49676,443,0,0,0,156,,,N
0,TCP,192.168.136.131,49676,443,0,0,0,156,,,N
0,TCP,192.168.136.131,34584,443,0,88,0,159,,,N
0,TCP,192.168.136.131,34584,443,0,1618,0,159,,,N
0,TCP,172.64.151.101,443,34584,88,0,0,159,,,N
0,TCP,172.64.151.101,443,34584,1460,0,0,159,,,N
0,TCP,172.64.151.101,443,34584,158,0,0,159,,,N
0,TCP,192.168.136.131,34584,443,0,189,0,159,,,N
0,TCP,172.64.151.101,443,34584,189,0,0,159,,,N
0,TCP,192.168.136.131,34562,443,0,64,0,157,,,N
0,TCP,172.64.151.101,443,34562,64,0,0,157,,,N
0,TCP,192.168.136.131,34562,443,0,187,0,157,,,N
0,TCP,172.64.151.101,443,34562,187,0,0,157,,,N
0,TCP,172.67.10.198,443,49630,0,31,0,151,,,N
0,TCP,192.168.136.131,49630,443,0,0,0,151,,,N
0,TCP,192.168.136.131,34584,443,0,88,0,159,,,N
0,TCP,172.64.151.101,443,34584,88,0,0,159,,,N
0,TCP,192.168.136.131,34584,443,0,1618,0,159,,,N
0,TCP,172.64.151.101,443,34584,1460,0,0,159,,,N
0,TCP,172.64.151.101,443,34584,158,0,0,159,,,N
0,TCP,192.168.136.131,34584,443,0,1087,0,159,,,N
0,TCP,172.64.151.101,443,34584,1087,0,0,159,,,N
0,TCP,192.168.136.131,39324,443,343,177,0,162,,,N
0,TCP,192.168.136.131,39324,443,0,301,0,162,,,N
0,TCP,192.168.136.131,39324,443,0,5058,0,162,,,N
0,TCP,103.43.90.54,443,39324,177,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,301,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,1460,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,1460,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,1460,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,678,0,0,162,,,N
0,TCP,103.43.90.54,443,39354,0,343,0,164,,,N
0,TCP,192.168.136.131,39324,443,0,38,0,162,,,N
0,TCP,103.43.90.54,443,39324,38,0,0,162,,,N
0,TCP,192.168.136.131,39354,443,343,194,0,164,,,N
0,TCP,103.43.90.54,443,39354,194,0,0,164,,,N
0,TCP,103.43.90.54,443,39338,0,343,0,163,,,N
0,TCP,192.168.136.131,39324,443,0,88,0,162,,,N
0,TCP,103.43.90.54,443,39324,88,0,0,162,,,N
0,TCP,192.168.136.131,39324,443,0,1642,0,162,,,N
0,TCP,103.43.90.54,443,39324,1460,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,182,0,0,162,,,N
0,TCP,192.168.136.131,39324,443,0,3756,0,162,,,N
0,TCP,103.43.90.54,443,39324,1460,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,1460,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,836,0,0,162,,,N
0,TCP,192.168.136.131,39354,443,0,31,0,164,,,N
0,TCP,103.43.90.54,443,39354,31,0,0,164,,,N
0,TCP,192.168.136.131,39354,443,0,0,0,164,,,N
0,TCP,103.43.90.54,443,39354,1,0,0,164,,,N
0,TCP,192.168.136.131,39338,443,343,194,0,163,,,N
0,TCP,103.43.90.54,443,39338,194,0,0,163,,,N
0,TCP,192.168.136.131,39324,443,0,88,0,162,,,N
0,TCP,103.43.90.54,443,39324,88,0,0,162,,,N
0,TCP,192.168.136.131,39324,443,0,1642,0,162,,,N
0,TCP,103.43.90.54,443,39324,1460,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,182,0,0,162,,,N
0,TCP,192.168.136.131,39324,443,0,3524,0,162,,,N
0,TCP,103.43.90.54,443,39324,1460,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,1460,0,0,162,,,N
0,TCP,103.43.90.54,443,39324,604,0,0,162,,,N
0,TCP,192.168.136.131,39338,443,0,31,0,163,,,N
0,TCP,103.43.90.54,443,39338,31,0,0,163,,,N
0,TCP,192.168.136.131,39338,443,0,0,0,163,,,N
0,TCP,103.43.90.54,443,39338,1,0,0,163,,,N
0,UDP,192.168.136.131,,,,51,0,,,,N
,DNS,192.168.136.131,,,,51,0,,,,N
0,UDP,192.168.136.131,,,,51,0,,,,N
,DNS,192.168.136.131,,,,51,0,,,,N
0,TCP,162.19.138.118,443,37978,0,1440,0,148,,,N
0,TCP,162.19.138.118,443,37978,0,1440,0,148,,,N
0,TCP,192.168.136.131,37978,443,1440,0,0,148,,,N
0,TCP,192.168.136.131,37978,443,1440,0,0,148,,,N
0,TCP,162.19.138.118,443,37978,0,1254,0,148,,,N
0,TCP,192.168.136.131,37978,443,1254,0,0,148,,,N
0,TCP,192.168.136.131,43804,443,1440,0,0,174,,,N
0,TCP,172.67.10.198,443,49648,0,31,0,153,,,N
0,TCP,192.168.136.131,43804,443,1440,0,0,174,,,N
0,TCP,192.168.136.131,43804,443,339,0,0,174,,,N
0,TCP,192.168.136.131,49648,443,0,0,0,153,,,N
0,TCP,192.168.136.131,37978,443,0,64,0,148,,,N
0,TCP,162.19.138.118,443,37978,64,0,0,148,,,N
0,TCP,192.168.136.131,37978,443,0,170,0,148,,,N
0,TCP,192.168.136.131,37978,443,0,296,0,148,,,N
0,TCP,162.19.138.118,443,37978,170,0,0,148,,,N
0,TCP,162.19.138.118,443,37978,296,0,0,148,,,N
0,TCP,172.67.10.198,443,49668,0,31,0,155,,,N
0,TCP,192.168.136.131,49668,443,0,0,0,155,,,N
0,TCP,54.151.166.244,443,51688,0,174,0,173,,,N
0,TCP,192.168.136.131,51688,443,174,0,0,173,,,N
0,TCP,54.151.166.244,443,51688,0,1440,0,173,,,N
0,TCP,192.168.136.131,51688,443,1440,0,0,173,,,N
0,TCP,54.151.166.244,443,51688,0,1440,0,173,,,N
0,TCP,192.168.136.131,51688,443,1440,0,0,173,,,N
0,TCP,54.151.166.244,443,51688,0,1440,0,173,,,N
